benchmark,language,mean_s,stddev_s,median_s,min_s,max_s
kmeans,c,0.7169447275599999,0.010014396446996011,0.71388988546,0.7128647194600001,0.74537226046
kmeans,cpp,0.7057610357599999,0.009484052176627822,0.7027904274600001,0.69941151146,0.73224742746
kmeans,rust,0.76867677346,0.010334404309577352,0.7658797604600001,0.76412684446,0.79793576146
kmeans,go,5.71005148156,0.014882768749384948,5.71563211496,5.68719338546,5.72726501046
kmeans,python,332.01961506896,1.5192916862978771,332.34680503146,329.89479592746,333.78367813546
kmeans,julia,3.0617821108600003,0.024530064942693598,3.05589267796,3.04006721946,3.12607784446
knn,c,0.74789584174,0.01145168102877265,0.7443825376400002,0.7415583711400001,0.7794493711400001
knn,cpp,0.7463158959400001,0.008412377708325551,0.7435272876400001,0.7417271631400001,0.76987753814
knn,rust,0.86139112924,0.009461961322133042,0.8585971626400001,0.8544414961400001,0.8875189121400001
knn,go,1.9691355375399997,0.012547211495453937,1.96330774614,1.9616867871399999,1.9934499131399999
knn,python,261.21729776243996,0.6798761662166022,261.24375310064,259.97171332913996,262.62883999513997
knn,julia,2.1995389375400003,0.014676784267193259,2.19534160014,2.18375737114,2.22705307914
mlp,c,0.6778041533800001,0.008515022973658207,0.6754399494800001,0.67218196998,0.7014093869800001
mlp,cpp,0.6745687033800001,0.0024623966765619557,0.6739711994800001,0.67210259498,0.6794996789800001
mlp,rust,0.7742774908800002,0.008546938227512332,0.7713533034800001,0.76993759498,0.7979886369800001
mlp,go,4.17414429908,0.025362957773478884,4.18147867848,4.11051971998,4.203771302980001
mlp,python,220.42467660728002,1.3604057165354426,220.87640340698,218.18863221998,222.33132276198
mlp,julia,3.1126707739799997,0.011726580343902306,3.1078733654799997,3.10125588598,3.1346133039799997
ga,c,0.7282291223599999,0.00835653489859961,0.72360474726,0.7216004352600001,0.74715551826
ga,cpp,0.72212589346,0.0010693450677594942,0.72199806026,0.72073268526,0.7238657272600001
ga,rust,0.7716802097600001,0.009352966444674484,0.76900310126,0.76699218526,0.79812735126
ga,go,2.6882349766600004,0.012385701264006262,2.68180058076,2.67563718426,2.7082855602600002
ga,python,108.73027683906,0.7210536367211905,109.01285083075999,106.93820718426,109.32222539326
ga,julia,1.0737663933600001,0.007032734815700109,1.07244039326,1.06544756026,1.09169518526
fuzzy,c,0.3687609641,0.0015801859545531152,0.3684109271,0.36623630160000004,0.3719176766
fuzzy,cpp,0.37236989350000005,0.01313362617432479,0.3686846561,0.3640626356,0.4088506346
fuzzy,rust,0.37453733479999995,0.010886290507154176,0.3711335726,0.3696222186,0.4052525516
fuzzy,go,2.4507868182,0.01268646602397582,2.4525700726000004,2.4318413846,2.4663289266
fuzzy,python,144.69786752220003,0.5491922847922509,144.45589209310003,144.23211425960002,145.7484575516
fuzzy,julia,1.6976039309000002,0.0068609350697435645,1.6954452391000001,1.6930221356000001,1.7168205096
